question,answer,id
What is the new amount to be paid according to Sub-section (1) of section 125 of the Principal Act in West Bengal?,The new amount to be paid is one thousand and five hundred rupees.,
Where is the new amount to be paid one thousand and five hundred rupees according to Sub-section (1) of section 125 of the Principal Act?,The new amount to be paid is one thousand and five hundred rupees in West Bengal.,
Who does the new proviso inserted in Sub-section (1) of section 125 of the Principal Act in West Bengal apply to?,"The new proviso applies to the wife referred to in clause (a), the minor child referred to in clause (b), the child (not being a married daughter) referred to in clause (c), and the father or the mother referred to in clause (d).",
"Who does the new proviso inserted in Sub-section (1) of section 125 of the Principal Act in West Bengal refer to when mentioning the wife in clause (a), the minor child in clause (b), the child (not being a married daughter) in clause (c), and the father or the mother in clause (d)?",The new proviso applies to these individuals.,
Who can apply for immediate relief and necessary expenses of the proceeding according to the act?,The wife or the minor child or the child (not being a married daughter) or the father or the mother can apply for immediate relief and necessary expenses of the proceeding.,
"Who, according to the act, has the right to apply for immediate relief and necessary expenses of the proceeding?",The wife or the minor child or the child (not being a married daughter) or the father or the mother.,
Who is ordered to pay for the allowance for maintenance and the expenses of the proceeding?,The person against whom the allowance for maintenance is claimed is ordered to pay for the allowance for maintenance and the expenses of the proceeding.,
Who is responsible for paying the allowance for maintenance and the expenses of the proceeding when a claim is made against them?,The person against whom the allowance for maintenance is claimed.,
What does the Magistrate consider when deciding the amount of allowance?,The Magistrate considers the income of the person against whom the allowance for maintenance is claimed when deciding the amount of allowance.,
Who does the Magistrate consider the income of when deciding the amount of allowance for maintenance?,The Magistrate considers the income of the person against whom the allowance is claimed.,
"What amendment was made to section 125 of the principal Act by the Code of Criminal Procedure (West Bengal Amendment) Act, 1992?","In section 125 of the principal Act, the words 'not exceeding one thousand and five hundred rupees' and the proviso were omitted.",
"What changes were made to the principal Act in the Code of Criminal Procedure (West Bengal Amendment) Act, 1992 at section 125?",The words 'not exceeding one thousand and five hundred rupees' and the proviso were omitted.,
Against whom can proceedings under section 125 be taken?,Proceedings under section 125 can be taken against any person.,
Who can proceedings under section 125 be taken against?,Proceedings under section 125 can be taken against any person.,
Where can a person be located according to the text?,"He can be located where he is, where he or his wife resides, or where he last resided with his wife, or as the case may be, with the mother of the illegitimate child.",
What are the possible locations where a man can be found according to the law or situation?,"He can be located where he is, where he or his wife resides, or where he last resided with his wife, or as the case may be, with the mother of the illegitimate child.",
What is the provision if the person against whom an order for payment of maintenance is proposed to be made is wilfully avoiding service or neglecting to attend the court?,The Magistrate may proceed to hear and determine the case ex parte and any order so made may be set aside for good cause shown on an application made within three months from the date thereof subject to such terms including terms as to payment of costs to the opposite party as the Magistrate may think just and proper.,
"What happens if the person against whom an order for payment of maintenance is proposed, wilfully avoids service or neglects to attend the court?",The Magistrate may proceed to hear and determine the case ex parte and any order so made may be set aside for good cause shown on an application made within three months from the date thereof subject to such terms including terms as to payment of costs to the opposite party as the Magistrate may think just and proper.,
When should all evidence in such proceedings be taken?,"All evidence in such proceedings should be taken in the presence of the person against whom an order for payment of maintenance is proposed to be made, or, when his personal attendance is dispensed with, in the presence of his pleader.",
Who should be present when all evidence in such proceedings is taken?,"All evidence in such proceedings should be taken in the presence of the person against whom an order for payment of maintenance is proposed to be made, or, when his personal attendance is dispensed with, in the presence of his pleader.",
How should evidence be recorded in a case?,The evidence should be recorded in the manner prescribed for summons-cases.,
In what manner should evidence be recorded in a case?,The evidence should be recorded in the manner prescribed for summons-cases.,
What power does the Court have when dealing with applications under section 125?,The Court has power to make such order as to costs as may be just.,
What can the Court do in terms of costs when dealing with applications under section 125?,The Court has power to make such order as to costs as may be just.,
Under what conditions can the Magistrate make alterations in the allowance for maintenance or interim maintenance?,The Magistrate can make alterations in the allowance for the maintenance or interim maintenance on proof of a change in the circumstances of any person receiving the allowance or ordered to pay it.,
When can the Magistrate make alterations in the allowance for the maintenance or interim maintenance?,The Magistrate can make alterations in the allowance for the maintenance or interim maintenance on proof of a change in the circumstances of any person receiving the allowance or ordered to pay it.,
What can the Magistrate do if a decision of a competent Civil Court affects an order made under section 125?,The Magistrate can cancel the order or vary it accordingly.,
What actions can a Magistrate take if a decision of a competent Civil Court affects an order under section 125?,The Magistrate can cancel the order or vary it accordingly.,
What happens to an order made under section 125 in favour of a divorced woman?,The specific consequences are not fully described in the provided text.,
Are the specific consequences of an order made under section 125 in favour of a divorced woman fully described in the provided text?,"No, the specific consequences are not fully described in the provided text.",
What happens if a woman remarries after her divorce?,The magistrate cancels the previous order as from the date of her remarriage.,
What does the magistrate do when a woman remarries after her divorce?,The magistrate cancels the previous order as from the date of her remarriage.,
What happens if a woman has received the whole sum payable after her divorce?,"The magistrate cancels the order. If the sum was paid before the order, it's cancelled from the date the order was made. In any other case, it's cancelled from the date of expiry of the period for which maintenance has been actually paid by the husband to the woman.",
When does the magistrate cancel the order if a woman has already received the whole sum payable after her divorce?,"The magistrate cancels the order. If the sum was paid before the order, it's cancelled from the date the order was made. In any other case, it's cancelled from the date of expiry of the period for which maintenance has been actually paid by the husband to the woman.",
What happens if the woman obtains a divorce and voluntarily surrenders her rights to maintenance?,The magistrate cancels the order from the date thereof.,
What action does the magistrate take when a woman obtains a divorce and voluntarily surrenders her rights to maintenance?,The magistrate cancels the order from the date thereof.,
What action is taken at the time of making any decree for the recovery of any maintenance or dowry?,The text does not provide specific actions taken at the time of making any decree for the recovery of any maintenance or dowry.,
Does the text provide specific actions taken at the time of making any decree for the recovery of any maintenance or dowry?,"No, the text does not provide specific actions taken at the time of making any decree for the recovery of any maintenance or dowry.",
What does the Civil Court take into account under section 125?,"The Civil Court takes into account the sum which has been paid to, or recovered by, the person to whom a monthly allowance for the maintenance and interim maintenance has been ordered.",
"Under what section does the Civil Court consider the sum that has been paid to, or recovered by, the person to whom a monthly allowance for the maintenance and interim maintenance has been ordered?",The Civil Court takes this into account under section 125.,
What amendment did Madhya Pradesh make to section 127 of the principal Act?,"In sub-section (1) of section 127 of the principal Act, for the words 'father or mother', the words 'father, mother, grand father, grand mother' were substituted.",
What words were substituted for 'father or mother' in sub-section (1) of section 127 of the principal Act in Madhya Pradesh?,"The words 'father, mother, grand father, grand mother' were substituted.",
"What were the changes made by Act 50 of 2001, s. 3?","Act 50 of 2001, s. 3 replaced the term 'maintenance' with 'monthly allowance for the maintenance and interim maintenance or any of them' and it came into effect from 24-9-2001.",
"What term did Act 50 of 2001, s. 3 replace with 'monthly allowance for the maintenance and interim maintenance or any of them' and when did this change come into effect?","Act 50 of 2001, s. 3 replaced the term 'maintenance' with 'monthly allowance for the maintenance and interim maintenance or any of them' and it came into effect from 24-9-2001.",
"What substitution is made in the principal Act according to West Bengal Act 14 of 1995, s. 3?","In the principal Act, the words 'one hundred rupees' are replaced by 'one thousand and five hundred rupees'.",
"What words are replaced by 'one thousand and five hundred rupees' in the principal Act according to West Bengal Act 14 of 1995, s. 3?",The words 'one hundred rupees' are replaced by 'one thousand and five hundred rupees' in the principal Act.,
"What change is made in Sub-section (1) of section 127 of the principal Act according to West Bengal Act 33 of 2001, s. 4?",The proviso in Sub-section (1) of section 127 of the principal Act is omitted.,
"What is omitted in Sub-section (1) of section 127 of the principal Act according to West Bengal Act 33 of 2001, s. 4?",The proviso is omitted.,
Who will receive a copy of the order of maintenance or interim maintenance and expenses of proceedings?,"A copy of the order of maintenance or interim maintenance and expenses of proceedings will be given without payment to the person in whose favour it is made, or to his guardian, if any, or to the person to whom the allowance for the maintenance or the allowance for the interim maintenance and expenses of proceeding is to be paid.",
Who will be given a copy of the order of maintenance or interim maintenance and expenses of proceedings without payment?,"A copy of the order of maintenance or interim maintenance and expenses of proceedings will be given without payment to the person in whose favour it is made, or to his guardian, if any, or to the person to whom the allowance for the maintenance or the allowance for the interim maintenance and expenses of proceeding is to be paid.",
How can the order of maintenance be enforced?,"The order of maintenance can be enforced by any Magistrate in any place where the person against whom it is made may be, on such Magistrate being satisfied as to the identity of the parties and the non-payment of the allowance, or as the case may be, expenses, due.",
Who can enforce the order of maintenance and under what conditions?,"Any Magistrate in any place where the person against whom it is made may be, can enforce the order of maintenance. This is possible on such Magistrate being satisfied as to the identity of the parties and the non-payment of the allowance, or as the case may be, expenses, due.",
Who can command an unlawful assembly to disperse?,"Any Executive Magistrate or officer in charge of a police station or, in the absence of such officer in charge, any police officer, not below the rank of a sub-inspector",
What rank does a police officer need to be to command an unlawful assembly to disperse in the absence of the officer in charge of a police station?,Not below the rank of a sub-inspector,
What is the duty of the members of an unlawful assembly when commanded to disperse?,It is the duty of the members of such assembly to disperse accordingly.,
What should the members of an unlawful assembly do when commanded to disperse?,The members of such assembly should disperse accordingly.,
What can an Executive Magistrate or police officer do if an assembly does not disperse upon being commanded?,"They may proceed to disperse such assembly by force, and may require the assistance of any male person, not being an officer or member of the armed forces and acting as such, for the purpose of dispersing such assembly.",
"Who can an Executive Magistrate or police officer require assistance from to disperse an assembly, and what can they do if the assembly does not disperse upon command?","An Executive Magistrate or police officer can require the assistance of any male person, not being an officer or member of the armed forces and acting as such, to disperse an assembly. If the assembly does not disperse upon command, they may proceed to disperse such assembly by force.",
Can an Executive Magistrate or police officer require assistance for the purpose of dispersing an assembly?,"Yes, they may require the assistance of any male person, not being an officer or member of the armed forces and acting as such, for the purpose of dispersing such assembly.",
Who can an Executive Magistrate or police officer require assistance from when dispersing an assembly?,"They may require the assistance of any male person, not being an officer or member of the armed forces and acting as such.",
What does the law allow the Executive Magistrate to do if an assembly cannot be dispersed?,The law allows the Executive Magistrate to cause the assembly to be dispersed by the armed forces if it cannot be otherwise dispersed and if it is necessary for the public security.,
Who is allowed by law to cause the assembly to be dispersed by the armed forces if it cannot be otherwise dispersed and if it is necessary for the public security?,The Executive Magistrate is allowed by law to cause the assembly to be dispersed by the armed forces if it cannot be otherwise dispersed and if it is necessary for the public security.,
Can the Executive Magistrate require any officer in command of armed forces to disperse an assembly?,"Yes, the Executive Magistrate can require any officer in command of any group of persons belonging to the armed forces to disperse the assembly with the help of the armed forces under his command.",
Who has the authority to require an officer in command of the armed forces to disperse an assembly?,The Executive Magistrate has the authority to require an officer in command of any group of persons belonging to the armed forces to disperse an assembly.,
What can the Executive Magistrate direct the officers in command of the armed forces to do to the persons forming part of the assembly?,The Executive Magistrate can direct the officers in command of the armed forces to arrest and confine such persons forming part of the assembly.,
Who can direct the officers in command of the armed forces to arrest and confine the persons forming part of the assembly?,The Executive Magistrate can direct the officers in command of the armed forces to arrest and confine such persons forming part of the assembly.,
What changes were made to the law by Act 50 of 2001?,"The terms 'monthly allowance in pursuance of', 'maintenance', 'whom the allowance', and 'allowance due' were substituted by Act 50 of 2001.",
"Which act substituted the terms 'monthly allowance in pursuance of', 'maintenance', 'whom the allowance', and 'allowance due'?",The terms were substituted by Act 50 of 2001.,
What should an officer of the armed forces do when asked to disperse an assembly?,"The officer should obey the requisition in a manner they think fit, using as little force and causing as little injury to person and property as possible, consistent with dispersing the assembly and arresting and detaining such persons.",
"What should an officer do when ordered to disperse an assembly, in terms of the amount of force used and the extent of injury caused to persons and property?","The officer should obey the requisition in a manner they think fit, using as little force and causing as little injury to person and property as possible, consistent with dispersing the assembly and arresting and detaining such persons.",
What power does a commissioned or gazetted officer of the armed forces have when public security is endangered by an assembly?,"If no Executive Magistrate can be communicated with, the officer may disperse the assembly with the help of the armed forces under his command, and may arrest and confine any persons forming part of it, in order to disperse the assembly or so they may be punished according to law.",
What actions may a commissioned or gazetted officer of the armed forces take when no Executive Magistrate can be communicated with and public security is endangered by an assembly?,"The officer may disperse the assembly with the help of the armed forces under his command, and may arrest and confine any persons forming part of it, in order to disperse the assembly or so they may be punished according to law.",
"What should an officer of the armed forces do if, while acting under section 131, it becomes possible to communicate with an Executive Magistrate?",The officer should communicate with the Executive Magistrate.,
Who should an officer of the armed forces communicate with if it becomes possible while acting under section 131?,The officer should communicate with the Executive Magistrate.,
"Who can give sanction for prosecution against a person for acts done under section 129, section 130 or section 131 and is an officer or member of the armed forces?",The Central Government,
"Who has the authority to approve the prosecution of a person for actions taken under section 129, section 130 or section 131 if that person is an officer or member of the armed forces?",The Central Government,
"Who can give sanction for prosecution in any other case for acts done under section 129, section 130 or section 131?",The State Government,
"Who is responsible for sanctioning prosecution for acts done under section 129, section 130 or section 131?",The State Government,
"Who shall not be deemed to have committed an offence when acting in good faith under section 129, section 130 or section 131?","An Executive Magistrate, a police officer, an officer of the armed forces, a member of the armed forces doing any act in obedience to any order which he was bound to obey",
"Who is an Executive Magistrate, a police officer, an officer of the armed forces, a member of the armed forces doing any act in obedience to any order which he was bound to obey, in the context of not being deemed to have committed an offence when acting in good faith under section 129, section 130 or section 131?","They shall not be deemed to have committed an offence when acting in good faith under section 129, section 130 or section 131.",
What does the expression 'armed forces' mean according to the document?,"The military, naval and air forces operating as land forces and any other armed forces of the Union so operating.",
Which forces are referred to as the 'armed forces' of the Union as per the document?,"The military, naval and air forces operating as land forces and any other armed forces of the Union so operating.",
Who is considered an 'officer' in relation to the armed forces?,"A person commissioned, gazetted or in pay as an officer of the armed forces and this includes a junior commissioned officer, a warrant officer, a petty officer, a noncommissioned officer and a non-gazetted officer.",
"Which type of individuals are included in the commission, gazetted, or in pay as an officer of the armed forces?","A junior commissioned officer, a warrant officer, a petty officer, a noncommissioned officer and a non-gazetted officer are included.",
What is the definition of a 'member' in relation to the armed forces?,A person in the armed forces other than an officer.,
Who is considered a person in the armed forces other than an officer?,A 'member' in relation to the armed forces.,
Who can order for removal of nuisance according to section 133?,"A District Magistrate, a Sub-divisional Magistrate or any other Executive Magistrate specially empowered in this behalf by the State Government.",
"What role does a District Magistrate, a Sub-divisional Magistrate or any other Executive Magistrate specially empowered by the State Government have according to section 133?",They can order for removal of nuisance.,
What should be removed if it is injurious to the health or physical comfort of the community?,"Any trade or occupation, or the keeping of any goods or merchandise",
"What should be removed if they are injurious to the health or physical comfort of the community, a trade or occupation, or the keeping of any goods or merchandise?",Yes,
"What should be done if a building, tent, or structure is likely to fall and cause injury?","The removal, repair or support of such building, tent or structure",
"What should be done to a building, tent, or structure that is likely to fall and cause injury?","The removal, repair or support of such building, tent or structure",
What should be done if a tree is in such a condition that it is likely to fall and cause injury?,The removal or support of such tree,
What should be done to a tree that is likely to fall and cause injury?,The removal or support of such tree,
"What should be done if the construction of any building, or the disposal of any substance, is likely to occasion configuration or explosion?",It should be prevented or stopped,
What action should be taken if a building's construction or a substance's disposal is likely to cause a configuration or explosion?,It should be prevented or stopped,
"What should be done if a substance that can be lawfully used by the public is found in any public place or in any way, river or channel?",It should be removed,
"What should be done with a substance that is lawful for public use if it is found in a public place, river, or channel?",It should be removed,
What should be done to an excavation adjacent to a public place or way?,The excavation should be fenced in such a manner as to prevent danger arising to the public.,
How should an excavation adjacent to a public place or way be secured to prevent danger to the public?,The excavation should be fenced in such a manner.,
"What may a Magistrate order if a dangerous animal should be destroyed, confined or otherwise disposed of?","The Magistrate may make a conditional order requiring the person owning or possessing such animal to destroy, confine or dispose of it within a time fixed in the order.",
"What can a Magistrate do if the owner of a dangerous animal is required to destroy, confine or dispose of it within a certain time frame?","The Magistrate may make a conditional order ordering the person owning or possessing such animal to destroy, confine or dispose of it within a time fixed in the order.",
What can a Magistrate order if someone is causing an obstruction or nuisance?,The Magistrate may make a conditional order requiring the person to remove such obstruction or nuisance within a fixed time.,
What action may a Magistrate take if a person is required to remove an obstruction or nuisance within a fixed time?,The Magistrate can make a conditional order.,
What may a Magistrate order if someone is carrying on a trade or occupation that is causing a nuisance?,"The Magistrate may make a conditional order requiring the person to desist from carrying on, or to remove or regulate in such manner as may be directed, such trade or occupation, or to remove such goods or merchandise, or to regulate the keeping thereof in such manner as may be directed.",
"What can a Magistrate do when a person's trade or occupation is causing a nuisance, in terms of requiring them to desist, remove or regulate their trade or occupation, or regulate the keeping of their goods or merchandise?","The Magistrate may make a conditional order requiring the person to desist from carrying on, or to remove or regulate in such manner as may be directed, such trade or occupation, or to remove such goods or merchandise, or to regulate the keeping thereof in such manner as may be directed.",
"What could a Magistrate order if a building, tent, structure, substance, tank, well or excavation is causing a nuisance or danger?","The Magistrate may make a conditional order requiring the person owning, possessing or controlling such item to prevent or stop the construction of such building, or to alter the disposal of such substance, or to remove or regulate the item in a directed manner.",
"What may a Magistrate do to prevent or stop the construction of a building, alter the disposal of a substance, or remove or regulate an item that is causing a nuisance or danger?","The Magistrate could order the person owning, possessing or controlling such item to take specific actions, such as preventing or stopping the construction of the building, altering the disposal of the substance, or removing or regulating the item in a directed manner.",
What can the person do if he objects to the order?,"He can appear before the Executive Magistrate or another Executive Magistrate subordinate to him, at a time and place fixed by the order, and show cause why the order should not be made absolute.",
What should a person do to show cause why the order should not be made absolute?,"He can appear before the Executive Magistrate or another Executive Magistrate subordinate to him, at a time and place fixed by the order if he objects to the order.",
Can an order made by a Magistrate under this section be questioned in any Civil Court?,"No, an order duly made by a Magistrate under this section cannot be called into question in any Civil Court.",
Is it possible to call into question an order made by a Magistrate in any Civil Court?,"No, an order duly made by a Magistrate cannot be called into question in any Civil Court.",
What is included in a 'public place' according to the explanation provided?,"A 'public place' includes property belonging to the State, camping grounds and grounds left unoccupied for sanitary or recreative purposes.",
"What does property belonging to the State, camping grounds and grounds left unoccupied for sanitary or recreative purposes refer to?",These refer to what is included in a 'public place' according to the explanation provided.,
How should the order be served on the person against whom it is made?,"The order should, if practicable, be served on the person against whom it is made, in the manner provided for service of a summons.",
What is the recommended way to serve an order on the person against whom it is made?,"The order should, if practicable, be served on the person against whom it is made, in the manner provided for service of a summons.",
What happens if the order cannot be served in the normal way?,"If the order cannot be served in the normal way, it shall be notified by.",
What should be done when an order cannot be served in the usual manner?,"When an order cannot be served in the normal way, it should be notified by.",
What must a person do if an order is made against them?,"The person must either perform the act directed by the order within the specified time and manner, or appear in accordance with the order and show cause against it.",
"What should a person do after an order is made against them, in terms of performing an act or showing cause against the order?","The person must either perform the act directed by the order within the specified time and manner, or appear in accordance with the order and show cause against it.",
What happens if the person fails to do as the order directs?,"If the person does not perform the act or appear and show cause, they shall be liable to the penalty prescribed in section 188 of the Indian Penal Code, and the order will be made absolute.",
What is the consequence of not performing the act or appearing and showing cause as per the order under section 188 of the Indian Penal Code?,"If the person fails to do as the order directs, they shall be liable to the penalty prescribed in section 188 of the Indian Penal Code, and the order will be made absolute.",
Where is a copy of the proclamation published?,"A copy of the proclamation is published in a manner as directed by the State Government rules, and a copy of it is struck up at places deemed fitting for conveying the information to such person.",
What happens to a copy of the proclamation according to the State Government rules?,"A copy of the proclamation is published in a manner as directed by the State Government rules, and a copy of it is struck up at places deemed fitting for conveying the information to such person.",
What is the purpose of an order made under section 133?,"An order made under section 133 is for the purpose of preventing obstruction, nuisance or danger to the public in the use of any way, river, channel or place.",
What does an order made under section 133 prevent?,"An order made under section 133 is for the purpose of preventing obstruction, nuisance or danger to the public in the use of any way, river, channel or place.",
What is the magistrate expected to do when the person against whom the order was made appears before him?,"The magistrate is expected to question him as to whether he denies the existence of any public right in respect of the way, river, channel or place.",
"What is the magistrate expected to do when the person against whom the order was made appears before him, in terms of questioning about the existence of any public right in respect of the way, river, channel or place?","The magistrate is expected to question him as to whether he denies the existence of any public right in respect of the way, river, channel or place.",
What action does the magistrate take before proceeding under section 138 if the person denies the existence of a public right?,"If the person denies the existence of a public right, the Magistrate shall inquire into the matter before proceeding under section 138.",
What does the Magistrate do when a person denies the existence of a public right before proceeding under section 138?,The Magistrate inquires into the matter.,
What happens if the Magistrate finds reliable evidence supporting the denial of the existence of a public right during the inquiry?,"If the Magistrate finds any reliable evidence in support of such denial, he shall stay the proceedings until the matter of the existence of such right has been decided by a competent Court.",
What action does the Magistrate take when he finds reliable evidence that supports the denial of the existence of a public right during an inquiry?,The Magistrate shall stay the proceedings until the matter of the existence of such right has been decided by a competent Court.,
What happens if the Magistrate finds no evidence supporting the denial of the existence of a public right?,"If the Magistrate finds that there is no such evidence, he shall proceed as laid down in section 138.",
What should the Magistrate do if he finds no evidence supporting the denial of the existence of a public right?,He shall proceed as laid down in section 138.,
What are the restrictions on a person who fails to deny the existence of a public right or fails to provide reliable evidence in support of such denial?,"A person who fails to deny the existence of a public right or who, having made such denial, has failed to adduce reliable evidence in support thereof, shall not in the subsequent proceedings be permitted to make any such denial.",
What is the consequence for a person who does not deny the existence of a public right or does not provide reliable evidence to support such denial in subsequent proceedings?,"A person who fails to deny the existence of a public right or who, having made such denial, has failed to adduce reliable evidence in support thereof, shall not in the subsequent proceedings be permitted to make any such denial.",
What happens if the person against whom an order under section 133 appears and shows cause against the order?,The Magistrate shall take evidence in the matter as in a summons-case.,
What will the Magistrate do in a situation where a person against whom an order under section 133 appears and shows cause against the order?,The Magistrate shall take evidence in the matter as in a summons-case.,
What action does the Magistrate take if they are satisfied with the order?,"The order shall be made absolute without modification or, as the case may be, with such modification.",
What happens to the order if the Magistrate is satisfied with it?,"The order shall be made absolute without modification or, as the case may be, with such modification.",
What happens if the Magistrate is not satisfied with the order?,No further proceedings shall be taken in the case.,
What is the consequence if no further proceedings are taken in the case?,It implies that the Magistrate is not satisfied with the order.,
What powers does the Magistrate have for the purposes of an inquiry under section 137 or section 138?,"The Magistrate may direct a local investigation to be made by such person as he thinks fit, or summon and examine an expert.",
Who can the Magistrate direct to make a local investigation or summon and examine an expert for an inquiry under section 137 or section 138?,The Magistrate may direct such person as he thinks fit.,
What can the Magistrate do if they direct a local investigation under section 139?,The Magistrate may furnish written instructions.,
What is something the Magistrate may do when directing a local investigation under section 139?,The Magistrate may furnish written instructions.,
What does the magistrate do when an order has been made absolute under section 136 or section 138?,"The Magistrate shall give notice of the same to the person against whom the order was made, and shall further require him to perform the act directed by the order within a time to be fixed in the notice, and inform him that, in case of disobedience, he will be liable to the penalty provided by section 188 of the Indian Penal Code (45 of 1860).",
"What happens if a person disobeys an order made absolute under section 136 or section 138, according to the Indian Penal Code section 188?","If a person disobeys the order, the Magistrate will inform him that he will be liable to the penalty provided by section 188 of the Indian Penal Code (45 of 1860).",
What can be done if a local investigation's expenses need to be paid?,The person in charge can declare by whom the whole or any part of the necessary expenses of the local investigation shall be paid.,
Who can declare by whom the whole or any part of the necessary expenses of a local investigation shall be paid?,The person in charge can declare by whom the local investigation's expenses need to be paid.,
What happens if the act directed by the magistrate's order is not performed within the specified time?,The person will be liable to the penalty provided by section 188 of the Indian Penal Code (45 of 1860).,
What is the consequence under the Indian Penal Code for not performing the act directed by a magistrate's order within the specified time?,The person will be liable to the penalty provided by section 188 of the Indian Penal Code (45 of 1860).,
Who pays for the costs of summoning and examining an expert under section 139?,The Magistrate may direct by whom the costs of such summoning and examination shall be paid.,
Who has the authority to direct the payment for the costs of summoning and examining an expert under section 139?,The Magistrate has the authority to direct by whom the costs of such summoning and examination shall be paid.,
Can the report of a person be read as evidence in the case?,"Yes, the report of such person may be read as evidence in the case.",
Can the report of such person be used as evidence in a case?,"Yes, the report of a person can be read as evidence in the case.",
What can the Magistrate do if an order is not performed?,"The Magistrate may cause it to be performed, and may recover the costs of performing it, either by the sale of any building, goods or other property removed by his order, or by the distress and sale of any other movable property of such person within or without such Magistrate’s local jurisdiction.",
"If an order is not performed, what actions can the Magistrate take to recover the costs of performing it?","The Magistrate may recover the costs by the sale of any building, goods or other property removed by his order, or by the distress and sale of any other movable property of such person within or without such Magistrate’s local jurisdiction.",
Can a suit be placed against anything done in good faith under this section?,"No, no suit shall lie in respect of anything done in good faith under this section.",
Is there any legal provision that prohibits lawsuits against actions performed in good faith under a certain section?,"Yes, no suit shall lie in respect of anything done in good faith under this section.",
What can the Magistrate do if he considers that immediate measures should be taken to prevent imminent danger or injury of a serious kind to the public?,"He may issue such an injunction to the person against whom the order was made, as is required to obviate or prevent such danger or injury pending the determination of the matter.",
What action can a Magistrate take to obviate or prevent danger or injury pending the determination of the matter?,"If he considers that immediate measures should be taken to prevent imminent danger or injury of a serious kind to the public, he may issue an injunction to the person against whom the order was made.",
What can a Magistrate do if a person does not obey an injunction?,"The Magistrate may himself use, or cause to be used, such means as he thinks fit to obviate such danger or to prevent such injury.",
What means can a Magistrate use or cause to be used if a person does not obey an injunction?,"The Magistrate may himself use, or cause to be used, such means as he thinks fit to obviate such danger or to prevent such injury.",
What is the liability for actions done in good faith by a Magistrate under this section?,No suit shall lie in respect of anything done in good faith by a Magistrate under this section.,
What is the legal outcome for anything done in good faith by a Magistrate under this section?,No suit shall lie in respect of these actions.,
Who can order a person not to repeat or continue a public nuisance?,"A District Magistrate or Sub-divisional Magistrate, or any other Executive Magistrate empowered by the State Government or the District Magistrate can order this.",
"Who can a District Magistrate, Sub-divisional Magistrate, or any other Executive Magistrate empowered by the State Government or the District Magistrate give an order to regarding the repetition or continuation of a public nuisance?",They can order a person.,
Under what law is a public nuisance defined?,"A public nuisance is defined in the Indian Penal Code (45 of 1860), or any special or local law.",
Where is a public nuisance defined?,"A public nuisance is defined in the Indian Penal Code (45 of 1860), or any special or local law.",
What power is given to the Magistrate in urgent cases of nuisance or apprehended danger?,"In cases where there is sufficient ground, a District Magistrate, a Sub-divisional Magistrate or any other Executive Magistrate specially empowered by the State Government can issue an order.",
"Who can issue an order in cases where there is sufficient ground, in urgent cases of nuisance or apprehended danger?","A District Magistrate, a Sub-divisional Magistrate or any other Executive Magistrate specially empowered by the State Government can issue an order.",
What can a Magistrate do if immediate prevention or speedy remedy is desirable according to the text?,"The Magistrate may, by a written order stating the material facts of the case and served in the manner provided by section 134, direct any person to abstain from a certain act or to take certain order with respect to certain property in his possession or under his management.",
"What action is described in the text for a Magistrate to take when immediate prevention or speedy remedy is desirable, specifically concerning a person's act or property?","The Magistrate may, by a written order stating the material facts of the case and served in the manner provided by section 134, direct any person to abstain from a certain act or to take certain order with respect to certain property in his possession or under his management.",
What conditions should be met for the Magistrate to give such direction?,"The Magistrate considers that such direction is likely to prevent, or tends to prevent, obstruction, annoyance or injury to any person lawfully employed, or danger to human life, health or safety or a disturbance of the public tranquillity, or a riot, or an affray.",
"What factors does the Magistrate take into account when deciding whether to give a direction to prevent obstruction, annoyance, injury, danger to human life, health, safety, disturbance of public tranquillity, a riot, or an affray?","The conditions that need to be met for the Magistrate to give such direction are that he or she considers the direction is likely to prevent, or tends to prevent, these potential issues.",
Under what circumstances can an order under this section be passed ex parte?,An order under this section may be passed ex parte in cases of emergency or in cases where the circumstances do not admit of the serving in due time of a notice upon the person against whom the order is directed.,
In which cases may an order under this section be passed ex parte?,An order under this section may be passed ex parte in cases of emergency or in cases where the circumstances do not admit of the serving in due time of a notice upon the person against whom the order is directed.,
To whom can an order under this section be directed?,"An order under this section may be directed to a particular individual, or to persons residing in a particular place or area.",
Who may an order under this section be directed to?,"An order under this section can be directed to a particular individual, or to persons residing in a particular place or area.",
How long can an order under this section remain in force?,An order under this section can remain in force for no more than two months from the making thereof.,
"What is the maximum duration from the making thereof, that an order under this section can remain in force?",The maximum duration an order under this section can remain in force is two months from the making thereof.,
Under what conditions can the State Government extend the duration of an order made by a Magistrate under this section?,"The State Government can extend the duration of an order if it considers it necessary for preventing danger to human life, health or safety, or for preventing a riot or any affray.",
What are the reasons for which the State Government can extend the duration of an order made by a Magistrate?,"The State Government can extend the duration if it considers it necessary for preventing danger to human life, health or safety, or for preventing a riot or any affray.",
What is the maximum extension period for an order made by a Magistrate under this section?,The maximum extension period for an order is six months from the date on which the order made by the Magistrate would have expired.,
When does an order made by a Magistrate under this section expire if it is extended to its maximum period?,"An order made by a Magistrate under this section expires six months from the date on which the original order would have expired, if it is extended to its maximum period.",
