question,answer
What is not considered as a coin according to the illustrations?,"Cowries, lumps of unstamped copper used as money, and medals are not considered as coins."
"What are cowries, lumps of unstamped copper used as money, and medals considered as according to the illustrations?",They are not considered as coins.
What is the punishment for counterfeiting coin?,The punishment for counterfeiting coin is imprisonment for a term which may extend to seven years and a fine.
What is the maximum imprisonment term and potential additional consequence for coin counterfeiting?,The maximum imprisonment term for coin counterfeiting is seven years and it may also include a fine.
What is the punishment for counterfeiting Indian coin?,"The punishment for counterfeiting Indian coin is imprisonment for life or imprisonment for a term which may extend to ten years, and a fine."
What is the maximum imprisonment term and potential additional penalty for counterfeiting Indian coin?,"The maximum imprisonment term for counterfeiting Indian coin is imprisonment for life or a term which may extend to ten years, and a potential additional penalty is a fine."
What is the offense related to making or selling instrument for counterfeiting coin?,"Making or mending, or performing any part of the process of making or mending, or buying, selling or disposing of any die or instrument for the purpose of counterfeiting coin is an offense."
"What constitutes the crime of making or mending, or performing any part of the process of making or mending, or buying, selling or disposing of any die or instrument for the purpose of counterfeiting coin?",This is an offense related to making or selling instrument for counterfeiting coin.
What is considered as Indian coin?,"The coin denominated as the Company's rupee and the 'Farukhabad rupee', which was formerly used as money under the authority of the Government of India, are considered as Indian coin."
Which coins denominated as the Company's rupee and the 'Farukhabad rupee' were previously used as money under the authority of which government?,The coins denominated as the Company's rupee and the 'Farukhabad rupee' were used as money under the authority of the Government of India and are considered as Indian coins.
What is the punishment for using or intending to use any instrument or material for the purpose of counterfeiting coin?,"The punishment is imprisonment of either description for a term which may extend to three years, and also a fine."
What is the potential duration of imprisonment and fine for someone who uses or plans to use any instrument or material for counterfeiting coins?,"The duration of imprisonment may extend to three years, and there may also be a fine."
What is the punishment for making or selling an instrument for counterfeiting Indian coin?,"The punishment is imprisonment of either description for a term which may extend to seven years, and also a fine."
What is the maximum term of imprisonment and additional penalty for making or selling a counterfeiting instrument for Indian coin?,"The maximum term of imprisonment is seven years, and there is also a fine."
What is the punishment for possessing any instrument or material with the intention of using it for counterfeiting coin?,"The punishment is imprisonment of either description for a term which may extend to three years, and also a fine."
"What is the punishment for someone who possesses counterfeiting materials, in terms of imprisonment duration and additional penalties?","The punishment is imprisonment of either description for a term which may extend to three years, and also a fine."
What is the punishment if the coin to be counterfeited is an Indian coin?,"The punishment is imprisonment of either description for a term which may extend to ten years, and also a fine."
What is the penalty for counterfeiting an Indian coin?,"The penalty is imprisonment of either description for a term which may extend to ten years, and also a fine."
What is the punishment for abetting in India the counterfeiting of coin out of India?,The punishment is the same as if the abetting of the counterfeiting of such coin occurred within India.
Is the punishment for abetting the counterfeiting of coin out of India the same as if the abetting occurred within India?,"Yes, the punishment is the same as if the abetting of the counterfeiting of such coin occurred within India."
What is the punishment for importing or exporting counterfeit coin into or from India?,"The punishment is imprisonment of either description for a term which may extend to three years, and also a fine."
"What is the potential penalty for importing or exporting counterfeit coin into or from India, in terms of imprisonment duration and possible fines?","The potential penalty is imprisonment of either description for a term which may extend to three years, and also a fine."
What is the punishment for someone who imports or exports counterfeit Indian coins?,"The person can be punished with imprisonment for life, or with imprisonment which may extend to ten years, and will also be liable to fine."
What are the potential consequences for a person who imports or exports counterfeit Indian coins?,"The person can be punished with imprisonment for life, or with imprisonment which may extend to ten years, and will also be liable to fine."
"What is the punishment for delivering a counterfeit coin, knowing that it is counterfeit, with fraudulent intent?","The person can be punished with imprisonment for a term which may extend to five years, and will also be liable to fine."
What is the maximum term of imprisonment and additional liability for someone convicted of knowingly delivering a counterfeit coin with fraudulent intent?,"The maximum term of imprisonment is five years, and the person will also be liable to a fine."
"What is the punishment for delivering a counterfeit Indian coin, knowing that it is counterfeit, with fraudulent intent?","The person can be punished with imprisonment for a term which may extend to ten years, and will also be liable to fine."
What is the maximum sentence and additional penalty someone could face for knowingly delivering a counterfeit Indian coin with fraudulent intent?,"The maximum sentence can extend up to ten years in prison, and the person will also be liable to a fine."
"What is the punishment for delivering a counterfeit coin as genuine, which the deliverer did not know was counterfeit when they first possessed it?","The person can be punished with imprisonment for a term which may extend to two years, or with a fine that may extend to ten times the value of the coin counterfeited, or with both."
"What is the maximum punishment for someone who unknowingly delivers a counterfeit coin, believing it to be genuine?","The maximum punishment can extend to two years of imprisonment, a fine up to ten times the value of the counterfeited coin, or both."
"What is the punishment for a person who fraudulently possesses counterfeit coin, knowing it to be counterfeit?","The person shall be punished with imprisonment that may extend to three years, and shall also be liable to fine."
What will happen to a person who knowingly possesses counterfeit coin?,"The person shall be punished with imprisonment that may extend to three years, and shall also be liable to fine."
"What is the punishment for a person who fraudulently possesses counterfeit Indian coin, knowing it to be counterfeit?","The person shall be punished with imprisonment that may extend to seven years, and shall also be liable to fine."
What is the maximum imprisonment and other liabilities for someone who is found guilty of fraudulently possessing counterfeit Indian coins?,"The maximum imprisonment may extend to seven years, and the person is also liable to a fine."
What is the liability of a person employed in a mint who intentionally causes a coin to be of different weight or composition from what is fixed by law?,The text does not provide a specific punishment for this act.
Does the text provide a specific punishment for a person employed in a mint who intentionally causes a coin to be of different weight or composition from what is fixed by law?,"No, the text does not provide a specific punishment for this act."
"Who among A, B, C, and D in the given scenario are punishable under section 239 or 240?",B and C are punishable under section 239 or 240.
Which sections of law could B and C be punishable under in the given scenario?,B and C could be punishable under section 239 or 240.
Who in the given scenario is punishable only under the unspecified section?,D is punishable only under this unspecified section.
Under which section is D punishable in the given scenario?,D is punishable under the unspecified section.
What is the punishment for unlawfully taking coining instrument from mint in India?,"The punishment is imprisonment of either description for a term which may extend to seven years, and the person shall also be liable to fine."
"What is the penalty for someone in India who unlawfully takes a coining instrument from the mint, in terms of imprisonment and fines?","The penalty is imprisonment of either description for a term which may extend to seven years, and the individual is also liable to pay a fine."
What is the punishment for fraudulently or dishonestly diminishing weight or altering composition of coin?,"The punishment is imprisonment of either description for a term which may extend to three years, and the person shall also be liable to fine."
What is the maximum term of imprisonment and additional liability for someone who fraudulently or dishonestly diminishes weight or alters the composition of a coin?,"The maximum term of imprisonment is three years, and the person is also liable to a fine."
What does it mean to alter the composition of a coin?,Altering the composition of a coin refers to a person who scoops out part of the coin and puts anything else into the cavity.
What does it refer to when a person scoops out part of a coin and puts anything else into the cavity?,This refers to altering the composition of a coin.
What is the punishment for fraudulently or dishonestly diminishing weight or altering composition of Indian coin?,"The punishment is imprisonment of either description for a term which may extend to seven years, and the person shall also be liable to fine."
What is the penalty for a person who fraudulently or dishonestly diminishes the weight or alters the composition of an Indian coin?,"The penalty is imprisonment of either description for a term which may extend to seven years, and the person shall also be liable to fine."
What is the punishment for altering appearance of coin with intent that it shall pass as coin of different description?,"The punishment is imprisonment of either description for a term which may extend to three years, and the person shall also be liable to fine."
What is the legal consequence for someone who alters the appearance of a coin with the intention of passing it off as a different coin?,"The legal consequence is imprisonment of either description for a term which may extend to three years, and the person shall also be liable to fine."
What is the punishment for altering the appearance of an Indian coin with the intent that it shall pass as a coin of a different description?,"The punishment is imprisonment for a term which may extend to seven years, and the person shall also be liable to fine."
What is the potential sentence for someone who is convicted for altering the appearance of an Indian coin with the intent that it shall pass as a coin of a different description?,"The potential sentence is imprisonment for a term which may extend to seven years, and the person shall also be liable to fine."
"What is the punishment for delivering a coin, knowing it is altered and that the offence defined in section 246 or 248 has been committed?","The punishment is imprisonment for a term which may extend to five years, and the person shall also be liable to fine."
What is the maximum sentence and the additional liability for someone who knowingly delivers an altered coin and commits the offence defined in section 246 or 248?,"The maximum sentence is imprisonment for up to five years, and the person is also liable to a fine."
"What is the punishment for delivering an Indian coin, knowing it is altered and that the offence defined in section 247 or 249 has been committed?","The punishment is imprisonment for a term which may extend to ten years, and the person shall also be liable to fine."
"What is the potential penalty if someone knowingly delivers an altered Indian coin, committing an offence defined in section 247 or 249?","The potential penalty is imprisonment for a term which may extend to ten years, and the person shall also be liable to fine."
What is the punishment for being in possession of a coin knowing it has been altered and that the offence defined in either of the section 246 or 248 has been committed?,The text does not provide a specific punishment for this situation.
Does the text provide a specific punishment for being in possession of a coin knowing it has been altered and that the offence defined in either of the section 246 or 248 has been committed?,"No, the text does not provide a specific punishment for this situation."
What is the punishment for possessing an altered Indian coin knowing it was altered according to section 253?,"The person shall be punished with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine."
"What is the maximum sentence and additional penalties for someone who possesses an altered Indian coin, knowing it was altered according to Indian law?","The maximum sentence is imprisonment which may extend to five years, and the individual is also liable to a fine."
"What is the punishment for delivering a coin as genuine, which was not known to be altered when first possessed, according to section 254?","The person shall be punished with imprisonment of either description for a term which may extend to two years, or with fine to an amount which may extend to ten times the value of the coin for which the altered coin is passed, or attempted to be passed."
"What is the potential penalty for a person who delivers an altered coin as genuine, unaware of its alteration at the time of initial possession, according to section 254?","The potential penalty is imprisonment for a term that may extend to two years, or a fine to an amount which may extend to ten times the value of the coin for which the altered coin is passed, or attempted to be passed."
What is the punishment for counterfeiting a Government stamp according to section 255?,"The person shall be punished with imprisonment for life or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
What is the maximum punishment and fine liability for someone found guilty of counterfeiting a Government stamp?,"The maximum punishment is life imprisonment or imprisonment for a term which may extend up to ten years, and the person is also liable to a fine, according to section 255."
Who commits the offence of counterfeiting a government stamp according to the explanation in section 255?,A person commits this offence who counterfeits by causing a.
Who is described in section 255 as committing the offence of counterfeiting a government stamp?,A person who counterfeits by causing a.
What is the punishment for having possession of any instrument or material intended for counterfeiting government stamps?,"The punishment is imprisonment of either description for a term which may extend to seven years, and also liable to fine."
What is the penalty for someone who possesses any instrument or material intended for counterfeiting government stamps?,"The penalty is imprisonment of either description for a term which may extend to seven years, and also liable to fine."
"What is the punishment for making, buying, selling or disposing any instrument intended for counterfeiting government stamps?","The punishment is imprisonment of either description for a term which may extend to seven years, and also liable to fine."
"What is the punishment for someone who is found guilty of manufacturing, buying, selling or disposing any tool intended for creating counterfeit government stamps?","The person is liable to be imprisoned for a term that could be as long as seven years, and can also be fined."
What is the punishment for selling or offering for sale any counterfeit government stamps?,"The punishment is imprisonment of either description for a term which may extend to seven years, and also liable to fine."
What is the imprisonment term and liability for someone who sells or offers for sale counterfeit government stamps?,"The imprisonment term can extend to seven years, and the person is also liable to a fine."
What is the punishment for having possession of any counterfeit government stamp with intent to use or dispose of it as a genuine stamp?,The punishment is imprisonment of either description for a term which may extend to seven years.
What is the maximum term of imprisonment for someone possessing a counterfeit government stamp with intent to use or dispose of it as genuine?,The maximum term of imprisonment is seven years.
What happens if someone is found with materials for the purpose of counterfeiting government stamps?,"They shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
What is the punishment for someone found with materials for the purpose of counterfeiting government stamps?,"They shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
What is the consequence of selling a counterfeit government stamp?,"The person shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
What is the punishment for someone who sells counterfeit government stamps?,"The person shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
What is the punishment for using a counterfeit government stamp as genuine?,"The punishment for using a counterfeit government stamp as genuine is imprisonment for a term which may extend to seven years, or with fine, or with both."
What can be the maximum imprisonment duration or penalty for using a counterfeit government stamp as genuine?,"The maximum imprisonment duration can be up to seven years, or there can be a fine, or both."
"What is the punishment for effacing writing from a substance bearing a Government stamp, or removing a stamp from a document with intent to cause loss to the Government?","The punishment for effacing writing from a substance bearing a Government stamp, or removing a stamp from a document with intent to cause loss to the Government is imprisonment for a term which may extend to three years, or with fine, or with both."
What is the maximum duration of imprisonment or type of other punishment for someone who intentionally removes a government stamp from a document or erases writing from a substance bearing a government stamp in order to cause loss to the government?,"The maximum duration of imprisonment for someone who intentionally removes a government stamp from a document or erases writing from a substance bearing a government stamp in order to cause loss to the government is up to three years, and they may also be fined or both."
What is the punishment for using a government stamp known to have been used before with intent to cause loss to the Government?,"The punishment for using a government stamp known to have been used before with intent to cause loss to the Government is imprisonment for a term which may extend to two years, or with fine, or with both."
What is the maximum possible sentence for someone who uses a government stamp known to have been used before in an attempt to cause financial loss to the Government?,"The maximum possible sentence for someone who uses a government stamp known to have been used before in an attempt to cause financial loss to the Government is two years of imprisonment, or a fine, or both."
"What is the punishment for erasing or removing a mark denoting that a stamp has been used, or knowingly selling or disposing of such a stamp?","The punishment for erasing or removing a mark denoting that a stamp has been used, or knowingly selling or disposing of such a stamp is imprisonment for a term which may extend to two years, or with fine, or with both."
"What is the possible sentence for a person who erases or removes a mark indicating that a stamp has been used, or knowingly sells or disposes of such a stamp?","A person who erases or removes a mark that denotes a stamp has been used, or knowingly sells or disposes of such a stamp, may face imprisonment for a term which may extend to two years, or with fine, or with both."
"What is the punishment for making, uttering, dealing in, selling, or using for postal purposes any fictitious stamp?",The person shall be punished with fine which may extend to two hundred rupees.
"What is the maximum fine for a person making, uttering, dealing in, selling, or using for postal purposes any fictitious stamp?",The maximum fine may extend to two hundred rupees.
What does 'fictitious stamp' refer to in this context?,"A 'fictitious stamp' refers to any stamp falsely purporting to be issued by Government for the purpose of denoting a rate of postage, or any facsimile or imitation or representation, whether on paper or otherwise, of any stamp issued by Government for that purpose."
"What is the purpose of a stamp falsely purporting to be issued by Government, or any facsimile or imitation or representation, whether on paper or otherwise, of any stamp issued by Government?",The purpose of such a stamp is to denote a rate of postage. This is often referred to as a 'fictitious stamp'.
Who does the term 'Government' include in sections 255 to 263?,"The term 'Government' includes the person or persons authorized by law to administer executive government in any part of India, and also in any part of Her Majesty's dominions or in any foreign country."
"What does the term 'Government' refer to when it is authorized by law to administer executive government in any part of India, Her Majesty's dominions or any foreign country?","In sections 255 to 263, the term 'Government' refers to such an entity."
What is the punishment for fraudulently using a false instrument for weighing?,"The person shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both."
What may be the punishment for a person who fraudulently uses a false instrument for weighing?,"The punishment can be imprisonment of either description for a term which may extend to one year, or a fine, or both."
What is considered an offence related to weights and measures?,Fraudulent use of any false weight or false measure of length or capacity is considered an offence related to weights and measures.
What type of activity is considered fraudulent and offensive in relation to weights and measures?,The use of any false weight or false measure of length or capacity is considered fraudulent and offensive in relation to weights and measures.
What is the punishment for using a different weight or measure from what it is?,"The punishment is imprisonment which may extend to one year, or with fine, or with both."
What is the potential penalty for using an incorrect weight or measure?,"Imprisonment which may extend to one year, or a fine, or both."
What is the punishment for being in possession of false weight or measure?,"The punishment is imprisonment which may extend to one year, or with fine, or with both."
"What may happen if a person is imprisoned for possessing false weight or measure, according to the law?","The person may be imprisoned for up to one year, fined, or both."
What is the punishment for making or selling false weight or measure?,"The punishment is imprisonment which may extend to one year, or with fine, or with both."
What could be the possible consequences of making or selling false weight or measure?,"The possible consequences are imprisonment which may extend to one year, or a fine, or both."
What is a public nuisance?,"A person is guilty of a public nuisance who does any act or is guilty of an illegal omission which causes any common injury, danger or annoyance to the public or to the people in general who dwell or occupy property in the vicinity, or which must necessarily cause injury, obstruction, danger or annoyance to persons who may have occasion to use any public right."
Who can be considered guilty of a public nuisance?,"A person who does any act or is guilty of an illegal omission which causes any common injury, danger or annoyance to the public or to the people in general who dwell or occupy property in the vicinity, or which must necessarily cause injury, obstruction, danger or annoyance to persons who may have occasion to use any public right."
What is the punishment for a negligent act likely to spread infection of disease dangerous to life?,"The punishment is imprisonment which may extend to six months, or with fine, or with both."
What might be the potential consequences for an act likely to spread a dangerous infectious disease due to negligence?,"The potential consequences could be imprisonment which may extend to six months, or a fine, or both."
What is the punishment for someone who knowingly spreads a disease dangerous to life?,"The person shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
What is the possible sentence for someone who is found guilty of knowingly spreading a life-threatening disease?,"The person shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
What is the consequence for disobeying a quarantine rule?,"The person shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both."
What is the punishment for a person who disobeys quarantine rules?,"The person shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both."
What is the punishment for adulterating food or drink intended for sale?,"The person shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
"What is the potential penalty for a person who adulterates food or drink meant for sale, in terms of imprisonment duration and possible fine amount?","The person may be punished with imprisonment for up to six months, a fine up to one thousand rupees, or both."
What is the penalty for selling noxious food or drink?,"The person shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
What happens to someone who sells noxious food or drink?,"The person shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
What is the punishment for adulterating any drug or medical preparation in a way that lessens its efficacy or changes its operation?,"The punishment is imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
What are the potential legal consequences for someone who adulterates any drug or medical preparation in a way that lessens its efficacy or changes its operation?,"The potential legal consequences are imprisonment of either description for a term which may extend to six months, or with a fine which may extend to one thousand rupees, or with both."
What is the penalty for knowingly selling or offering for sale an adulterated drug or medical preparation?,"The penalty is imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
What is the punishment for selling or offering to sell an adulterated drug or medical preparation?,"The punishment is either imprisonment for up to six months, a fine up to one thousand rupees, or both."
What is the punishment for selling or offering for sale a drug or medical preparation as a different drug or preparation?,"The punishment is imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
"What is the penalty for a crime that results in imprisonment of either description for up to six months, a fine of up to one thousand rupees, or both?",The crime for which such a penalty is given is selling or offering for sale a drug or medical preparation as a different drug or preparation.
What is the penalty for voluntarily corrupting or fouling the water of any public spring or reservoir?,"The penalty is imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both."
What are the potential consequences for someone who has voluntarily corrupted or fouled the water of any public spring or reservoir?,"The potential consequences are imprisonment of either description for a term which may extend to three months, or with a fine which may extend to five hundred rupees, or with both."
What is the punishment for voluntarily vitiating the atmosphere to the point of being harmful to people's health?,The person shall be punished with fine which may extend to five hundred rupees.
What is the maximum fine for someone who voluntarily pollutes the atmosphere to a harmful extent?,Five hundred rupees
What is the consequence of driving or riding in a manner that endangers human life on a public way?,"The person shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
What is the punishment for someone who endangers human life by driving or riding in a reckless manner on a public way?,"The person shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
What is the penalty for navigating a vessel in a way that endangers human life?,"The person shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
What is the punishment for a person who navigates a vessel in a way that endangers human life?,"The person shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
"What is the punishment for exhibiting a false light, mark or buoy with the intention or knowledge that it will mislead a navigator?","The person shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both."
"What is the potential consequence for a person who exhibits a false light, mark or buoy with the intention or knowledge that it will mislead a navigator?","The person shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both."
What is the consequence of knowingly or negligently conveying a person by water in a vessel that is in such a state or so loaded as to endanger their life?,"The person shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
What is the punishment for someone who knowingly or negligently conveys a person by water in a vessel that is in such a state or so loaded as to endanger their life?,"The person shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
"What is the penalty for causing danger, obstruction or injury to any person by doing an act or omitting to manage any property in one's possession or under one's charge?",The specific penalty is not mentioned in the text provided.
"Is the specific penalty for causing danger, obstruction or injury to any person by doing an act or omitting to manage any property in one's possession or under one's charge mentioned in the text provided?","No, the specific penalty is not mentioned in the text provided."
What is the punishment for a person in any public way or public line of navigation?,The person shall be punished with a fine which may extend to two hundred rupees.
What is the maximum fine for someone who misbehaves in a public way or public line of navigation?,The maximum fine is two hundred rupees.
What is the punishment for negligent conduct with respect to poisonous substance?,"The person shall be punished with imprisonment which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
What is the maximum possible punishment in terms of imprisonment duration and fine amount for someone who has been negligent with respect to a poisonous substance?,"The maximum possible punishment is imprisonment which may extend to six months, or a fine which may extend to one thousand rupees, or both."
What is the consequence for negligent conduct with respect to fire or combustible matter?,"The person shall be punished with imprisonment which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
What is the punishment for someone who negligently conducts themselves with regard to fire or combustible matter?,"The punishment for such negligence can extend to six months of imprisonment, or a fine of up to one thousand rupees, or both."
What is the punishment for negligent conduct with respect to explosive substance?,"The person shall be punished with imprisonment which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
What is the maximum duration of imprisonment or amount of fine a person can receive for negligent conduct with respect to explosive substance?,The maximum duration of imprisonment can extend to six months and the fine may extend to one thousand rupees.
What is the punishment for acting negligently with machinery in a way that endangers human life?,"The punishment for this act is imprisonment that may extend to six months, or with a fine which may extend to one thousand rupees, or with both."
"What is the punishment for a crime that carries a maximum sentence of six months imprisonment, a fine of up to one thousand rupees, or both?",The punishment for such a crime could be acting negligently with machinery in a way that endangers human life.
What is the punishment for negligent conduct with respect to pulling down or repairing buildings?,"The punishment is imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
What is the maximum term of imprisonment and fine for someone convicted of negligent conduct with respect to pulling down or repairing buildings?,The maximum term of imprisonment is six months and the fine may extend to one thousand rupees.
What are the consequences for negligent conduct with respect to an animal?,"The punishment is imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
What is the punishment for negligent conduct with respect to an animal?,"The punishment is imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
What is the punishment for committing a public nuisance in cases not otherwise provided for by the Code?,The punishment for this act is a fine which may extend to two hundred rupees.
What is the maximum fine for committing a public nuisance in cases not otherwise provided for by the Code?,The maximum fine for this act is two hundred rupees.
What is the punishment for continuing a public nuisance after injunction to discontinue?,"The punishment is simple imprisonment for a term which may extend to six months, or with a fine, or with both."
What could be the potential consequences if someone continues a public nuisance after being instructed to discontinue?,"The potential consequences are simple imprisonment for a term which may extend to six months, or with a fine, or with both."
What is considered obscene according to the text?,"A book, pamphlet, paper, writing, drawing, painting, representation, figure or any other object is deemed to be obscene if it is lascivious or appeals to the prurient interest or if its effect tends to deprave and corrupt persons who are likely to read, see or hear the matter contained or embodied in it."
"How is obscenity defined in the context of books, pamphlets, papers, writings, drawings, paintings, representations, figures or any other objects?","Obscenity in the context of these objects is defined as anything that is lascivious or appeals to the prurient interest or if its effect tends to deprave and corrupt persons who are likely to read, see or hear the matter contained or embodied in it."
What actions regarding obscene objects are punishable according to the text?,"Selling, letting to hire, distributing, publicly exhibiting, or any manner of putting into circulation any obscene object, as well as importing, exporting, or conveying any obscene object for the mentioned purposes, or taking part in or receiving profits from any business in the course of which obscene objects are made, produced, kept, imported, exported, conveyed, publicly exhibited or in any manner put into circulation, or advertising or making known that any person is engaged or is ready to engage in any act which is an offence under this section, or offering or attempting to do any act which is an offence under this section."
What are some offences under this section related to obscene objects according to the law?,"Selling, letting to hire, distributing, publicly exhibiting, or any manner of putting into circulation any obscene object, as well as importing, exporting, or conveying any obscene object for the mentioned purposes, or taking part in or receiving profits from any business in the course of which obscene objects are made, produced, kept, imported, exported, conveyed, publicly exhibited or in any manner put into circulation, or advertising or making known that any person is engaged or is ready to engage in any act which is an offence under this section, or offering or attempting to do any act which is an offence under this section."
What is the punishment for offences under this section?,"On first conviction, the punishment may extend to two years of imprisonment and a fine which may extend to two thousand rupees."
What is the potential imprisonment duration and fine amount on first conviction under a certain section?,The punishment may extend to two years of imprisonment and a fine which may extend to two thousand rupees.
What is the punishment for a second or subsequent conviction involving obscene objects?,"Imprisonment for a term which may extend to five years, and also with fine which may extend to five thousand rupees."
What is the possible sentence and fine for a second or subsequent conviction involving obscene objects?,"Imprisonment for a term which may extend to five years, and also with fine which may extend to five thousand rupees."
What exceptions are given in relation to the publication of obscene objects?,"The exceptions are any book, pamphlet, paper, writing, drawing, painting, representation or figure that is justified as being for the public good or is kept or used bona fide for religious purposes. Additionally, any representation sculptured, engraved, painted on or in any ancient monument or any temple, or on any car used for the conveyance of idols, or kept or used for any religious purpose."
"What qualifies as exceptions to the obscenity rule in regards to books, pamphlets, papers, drawings, paintings, representations, figures, ancient monuments, temples, and cars used for the conveyance of idols?","The exceptions are any book, pamphlet, paper, writing, drawing, painting, representation or figure that is justified as being for the public good or is kept or used bona fide for religious purposes. Additionally, any representation sculptured, engraved, painted on or in any ancient monument or any temple, or on any car used for the conveyance of idols, or kept or used for any religious purpose."
"What is the punishment for selling, letting to hire, distributing, exhibiting or circulating obscene objects to a person under twenty years?","On first conviction, the punishment is imprisonment for a term which may extend to three years, and with fine which may extend to two thousand rupees. In the event of a second or subsequent conviction, the punishment is imprisonment for a term which may extend to seven years, and also with fine which may extend to five thousand rupees."
"What is the penalty upon first and subsequent convictions for selling, letting to hire, distributing, exhibiting or circulating obscene objects to a person under twenty years?","On first conviction, the punishment is imprisonment for a term which may extend to three years, and with fine which may extend to two thousand rupees. In the event of a second or subsequent conviction, the punishment is imprisonment for a term which may extend to seven years, and also with fine which may extend to five thousand rupees."
What is the punishment for performing any obscene act in a public place?,"The punishment is imprisonment which may extend to three months or with fine, or with both."
What does the law state about performing any obscene act in a public place?,"The law states that performing any obscene act in a public place can result in imprisonment which may extend to three months or with fine, or with both."
What are the penalties for keeping an unauthorized lottery office?,"The punishment is imprisonment which may extend to six months, or with fine, or with both."
What can be the possible punishments for running an unauthorized lottery office?,"The punishment can be imprisonment up to six months, a fine, or both."
What is the penalty for publishing any proposal related to unauthorized lotteries?,The punishment is a fine which may extend to one thousand rupees.
What is the punishment for publishing any proposal related to unauthorized lotteries?,The punishment is a fine which may extend to one thousand rupees.
What is the punishment for damaging or defiling a place of worship with intent to insult the religion of any class?,"The punishment is imprisonment which may extend to two years, or with fine, or with both."
What is the consequence for someone who intentionally damages or defiles a place of worship to insult a religion?,"The consequence is imprisonment which may extend to two years, or with fine, or with both."
What are the penalties for deliberate and malicious acts intended to outrage religious feelings of any class by insulting its religion or religious beliefs?,The person shall be punished with imprisonment.
What is the punishment for someone who deliberately and maliciously acts to outrage the religious feelings of any class by insulting its religion or religious beliefs?,The person shall be punished with imprisonment.
What is the punishment for voluntarily causing disturbance to a religious assembly according to section 296?,"The punishment can extend to one year of imprisonment, or with a fine, or with both."
"What is the maximum penalty, according to section 296, for voluntarily causing disturbance to a religious assembly?","The maximum penalty can extend to one year of imprisonment, or with a fine, or with both."
What is the punishment for trespassing on burial places with the intention of wounding religious feelings or insulting religion according to section 297?,"The punishment can extend to one year of imprisonment, or with a fine, or with both."
What is the maximum penalty for an individual who trespasses on burial places with the intention of insulting religion or wounding religious feelings under section 297?,"The maximum penalty can extend to one year of imprisonment, or with a fine, or with both."
